id_venda,id_cliente,id_produto,data,id_origem,origem,tipo_movel,categoria,material,acabamento,medidas,quantidade_modulos,adicionais,valor_total,custo_total,margem_lucro,status,quantidade,pagina,tempo_permanencia,acao,cidade,estado,tipo_cliente
1280,1194,5005,2025-10-17,4,Facebook,planejado,Quarto,MDF,Amadeirado,2.10x0.55x2.30,5,cabideiro extra,16904.15,9773.98,7130.17,orcamento,1,produto,493,visualizar,Sao Paulo,SP,residencial
1281,1061,5012,2025-10-11,1,Google,modulado,Cozinha,MDP,Branco,0.60x0.60x1.80,1,LED sob medida,1222.65,803.62,419.03,aprovado,1,checkout,380,comprar,Sao Paulo,SP,residencial
1282,1256,5030,2025-10-15,3,Direto,modulado,Varanda,MDF,Natural,0.60x0.50x2.10,1,banco embutido,2091.27,1233.8,857.47,orcamento,1,orcamento,286,orcamento,Belo Horizonte,MG,corporativo
1283,1007,5003,2025-10-25,3,Direto,planejado,Cozinha,Madeira Maciça,Natural,2.80x0.60x2.40,7,LED sob medida,45962.09,30348.7,15613.39,aprovado,1,produto,349,visualizar,Niteroi,RJ,residencial
1284,1082,5015,2025-10-02,3,Direto,modulado,Quarto,MDP,Fosco,2.10x0.55x1.80,5,cabideiro premium,8038.65,5491.43,2547.22,orcamento,1,checkout,362,abandonar,Porto Alegre,RS,residencial
1285,1003,5007,2025-10-04,2,Instagram,planejado,Sala,MDF,Brilho,1.80x0.45x2.10,4,nenhum,15005.46,9802.48,5202.98,aprovado,1,produto,663,visualizar,Santos,SP,residencial
1286,1031,5001,2025-10-26,1,Google,planejado,Cozinha,MDF,Fosco,3.20x0.60x2.20,8,torre quente,29482.45,17751.31,11731.14,produzido,1,carrinho,167,abandonar,Joinville,SC,residencial
1287,1220,5012,2025-10-15,2,Instagram,modulado,Cozinha,MDP,Branco,2.10x0.60x2.20,5,LED sob medida,6540.96,4316.12,2224.84,aprovado,2,carrinho,100,visualizar,Petropolis,RJ,residencial
1288,1231,5007,2025-10-09,2,Instagram,planejado,Sala,MDF,Brilho,3.20x0.45x2.10,8,adega,29378.33,20048.94,9329.39,orcamento,1,carrinho,94,orcamento,Rio de Janeiro,RJ,corporativo
1289,1276,5020,2025-10-25,2,Instagram,modulado,Home Office,MDF,Fosco,2.10x0.60x2.10,5,calha eletrica,9870.56,6203.45,3667.11,aprovado,1,orcamento,236,visualizar,Campinas,SP,corporativo
