id_venda,id_cliente,id_produto,data,id_origem,origem,tipo_movel,categoria,material,acabamento,medidas,quantidade_modulos,adicionais,valor_total,custo_total,margem_lucro,status,quantidade,pagina,tempo_permanencia,acao,cidade,estado,tipo_cliente
1360,1187,5001,2025-12-04,4,Facebook,planejado,Cozinha,MDF,Fosco,2.80x0.60x2.20,7,LED,21966.0,12672.45,9293.55,aprovado,2,produto,517,visualizar,Salvador,BA,residencial
1361,1106,5003,2025-12-09,2,Instagram,planejado,Cozinha,Madeira Maciça,Natural,2.80x0.60x2.20,7,painel ripado,38283.38,22089.51,16193.87,produzido,1,orcamento,386,orcamento,Porto Alegre,RS,corporativo
1362,1286,5005,2025-12-04,3,Direto,planejado,Quarto,MDF,Amadeirado,3.60x0.55x2.20,9,porta de correr,31161.51,17386.89,13774.62,orcamento,2,categoria,539,visualizar,Sao Paulo,SP,residencial
1363,1264,5025,2025-12-02,3,Direto,padrao,Banheiro,MDF,Branco,1.50x0.40x0.80,3,espelho lapidado,3609.65,2395.95,1213.7,aprovado,2,produto,59,visualizar,Petropolis,RJ,residencial
1364,1060,5002,2025-12-19,1,Google,planejado,Cozinha,MDF,Laca,1.80x0.60x2.30,4,LED sob medida,11173.4,6542.78,4630.62,orcamento,2,produto,629,orcamento,Sao Jose dos Campos,SP,residencial
1365,1224,5003,2025-12-13,2,Instagram,planejado,Cozinha,Madeira Maciça,Natural,3.20x0.60x2.20,8,calha de tomada,52205.0,29708.91,22496.09,aprovado,1,orcamento,499,comprar,Manaus,AM,residencial
1366,1176,5005,2025-12-10,3,Direto,planejado,Quarto,MDF,Amadeirado,1.50x0.55x2.20,3,espelho,11973.4,8373.59,3599.81,aprovado,1,orcamento,282,orcamento,Natal,RN,residencial
1367,1018,5014,2025-12-29,5,WhatsApp,modulado,Quarto,MDP,Amadeirado,1.20x0.55x1.80,2,porta de correr,2713.52,1790.98,922.54,orcamento,1,orcamento,130,orcamento,Pelotas,RS,residencial
1368,1124,5002,2025-12-14,6,YouTube,planejado,Cozinha,MDF,Laca,1.50x0.60x2.30,3,torre quente,10209.86,6350.2,3859.66,aprovado,2,orcamento,54,visualizar,Salvador,BA,residencial
1369,1238,5018,2025-12-26,5,WhatsApp,modulado,Sala,MDF,Brilho,2.40x0.45x2.20,6,estante nicho,9237.54,5613.95,3623.59,entregue,1,checkout,657,comprar,Goiania,GO,residencial
