id_venda,id_cliente,id_produto,data,id_origem,origem,tipo_movel,categoria,material,acabamento,medidas,quantidade_modulos,adicionais,valor_total,custo_total,margem_lucro,status,quantidade,pagina,tempo_permanencia,acao,cidade,estado,tipo_cliente
1001,1058,5001,2025-01-24,1,Google,planejado,Cozinha,MDF,Fosco,3.60x0.60x2.10,9,calha de tomada,23520.14,13756.91,9763.23,orcamento,1,orcamento,459,orcamento,Rio de Janeiro,RJ,residencial
1002,1113,5011,2025-01-25,4,Facebook,modulado,Cozinha,MDP,Amadeirado,2.40x0.60x2.20,6,torre quente,8672.93,5208.0,3464.93,orcamento,2,carrinho,74,visualizar,Rio de Janeiro,RJ,corporativo
1003,1236,5013,2025-01-18,1,Google,modulado,Cozinha,MDF,Fosco,2.40x0.60x2.10,6,calha de tomada,12025.92,7025.36,5000.56,orcamento,1,produto,314,visualizar,Natal,RN,residencial
1004,1233,5015,2025-01-07,3,Direto,modulado,Quarto,MDP,Fosco,2.40x0.55x1.80,6,gaveteiro,8389.05,4819.6,3569.45,produzido,1,checkout,362,orcamento,Niteroi,RJ,residencial
1005,1029,5005,2025-01-09,1,Google,planejado,Quarto,MDF,Amadeirado,2.40x0.55x2.20,6,cabideiro extra,21791.72,13485.32,8306.4,orcamento,1,produto,628,visualizar,Sao Paulo,SP,residencial
1006,1220,5023,2025-01-05,2,Instagram,padrao,Sala,Madeira Maciça,Natural,0.60x0.45x0.75,1,adega,1382.53,901.51,481.02,orcamento,1,checkout,287,orcamento,Petropolis,RJ,residencial
1007,1284,5022,2025-01-22,5,WhatsApp,padrao,Quarto,MDF,Acetinado,1.50x0.55x0.85,3,espelho,3579.57,2480.9,1098.67,orcamento,1,produto,138,abandonar,Sao Paulo,SP,residencial
1008,1153,5021,2025-01-12,4,Facebook,padrao,Cozinha,Compensado,Branco,0.60x0.60x0.85,1,gabinete extra,627.08,437.58,189.5,aprovado,1,checkout,110,comprar,Juiz de Fora,MG,residencial
1009,1044,5017,2025-01-18,4,Facebook,modulado,Sala,MDP,Cinza,1.20x0.45x2.20,2,nenhum,2678.95,1717.18,961.77,entregue,1,checkout,349,abandonar,Recife,PE,corporativo
1010,1205,5030,2025-01-17,2,Instagram,modulado,Varanda,MDF,Natural,1.20x0.50x2.00,2,banco embutido,3074.88,1962.59,1112.29,aprovado,1,produto,62,visualizar,Joinville,SC,residencial
1011,1170,5002,2025-01-07,2,Instagram,planejado,Cozinha,MDF,Laca,3.20x0.60x2.20,8,rodape MDF,29497.02,16652.24,12844.78,orcamento,1,orcamento,719,orcamento,Sao Jose dos Campos,SP,residencial
1012,1051,5001,2025-01-04,1,Google,planejado,Cozinha,MDF,Fosco,1.80x0.60x2.40,4,LED sob medida,12136.14,8266.81,3869.33,aprovado,2,produto,697,visualizar,Caxias do Sul,RS,corporativo
1013,1277,5020,2025-01-28,1,Google,modulado,Home Office,MDF,Fosco,1.80x0.60x2.20,4,puxador cava,10219.91,5873.34,4346.57,orcamento,2,orcamento,322,visualizar,Natal,RN,corporativo
