id_venda,id_cliente,id_produto,data,id_origem,origem,tipo_movel,categoria,material,acabamento,medidas,quantidade_modulos,adicionais,valor_total,custo_total,margem_lucro,status,quantidade,pagina,tempo_permanencia,acao,cidade,estado,tipo_cliente
1247,1010,5021,2025-09-19,2,Instagram,padrao,Cozinha,Compensado,Branco,1.20x0.60x0.75,2,calha de tomada,1797.84,1116.13,681.71,aprovado,1,checkout,327,comprar,Joinville,SC,corporativo
1248,1143,5012,2025-09-13,2,Instagram,modulado,Cozinha,MDP,Branco,0.60x0.60x2.00,1,painel ripado,1887.32,1084.98,802.34,orcamento,1,categoria,705,orcamento,Recife,PE,corporativo
1249,1075,5017,2025-09-08,4,Facebook,modulado,Sala,MDP,Cinza,1.20x0.45x1.80,2,painel ripado,2867.98,1800.18,1067.8,aprovado,2,orcamento,70,comprar,Uberlandia,MG,residencial
1250,1166,5002,2025-09-17,3,Direto,planejado,Cozinha,MDF,Laca,2.10x0.60x2.30,5,calha de tomada,17547.31,10647.32,6899.99,aprovado,1,carrinho,258,orcamento,Florianopolis,SC,residencial
1251,1181,5020,2025-09-29,3,Direto,modulado,Home Office,MDF,Fosco,2.10x0.60x2.00,5,puxador cava,8675.11,5136.72,3538.39,orcamento,1,orcamento,706,visualizar,Rio de Janeiro,RJ,corporativo
1252,1071,5008,2025-09-04,2,Instagram,planejado,Sala,MDF,Acetinado,3.20x0.45x2.40,8,painel ripado,25819.84,14287.84,11532.0,orcamento,1,carrinho,70,visualizar,Belo Horizonte,MG,residencial
1253,1076,5001,2025-09-09,5,WhatsApp,planejado,Cozinha,MDF,Fosco,3.60x0.60x2.40,9,calha de tomada,29191.57,19206.07,9985.5,aprovado,1,checkout,512,comprar,Sao Jose dos Campos,SP,residencial
1254,1088,5005,2025-09-19,4,Facebook,planejado,Quarto,MDF,Amadeirado,1.50x0.55x2.30,3,cabideiro premium,12232.27,7822.29,4409.98,orcamento,1,produto,565,visualizar,Belo Horizonte,MG,residencial
1255,1259,5016,2025-09-27,1,Google,modulado,Quarto,MDF,Acetinado,0.60x0.55x2.00,1,gaveteiro,1919.78,1281.61,638.17,orcamento,1,produto,647,orcamento,Belo Horizonte,MG,residencial
1256,1001,5023,2025-09-17,2,Instagram,padrao,Sala,Madeira Maciça,Natural,0.60x0.45x1.80,1,painel ripado,2393.8,1453.48,940.32,aprovado,1,orcamento,130,orcamento,Salvador,BA,residencial
