id_venda,id_cliente,id_produto,data,id_origem,origem,tipo_movel,categoria,material,acabamento,medidas,quantidade_modulos,adicionais,valor_total,custo_total,margem_lucro,status,quantidade,pagina,tempo_permanencia,acao,cidade,estado,tipo_cliente
1445,1186,5026,2026-02-15,1,Google,modulado,Banheiro,MDP,Branco,0.60x0.40x1.80,1,nichos embutidos,1591.79,914.72,677.07,aprovado,1,carrinho,618,visualizar,Fortaleza,CE,residencial
1446,1072,5028,2026-02-26,3,Direto,padrao,Lavanderia,MDF,Fosco,1.50x0.55x1.80,3,prateleira secagem,4174.11,2486.3,1687.81,produzido,1,carrinho,570,comprar,Florianopolis,SC,residencial
1447,1076,5016,2026-02-15,3,Direto,modulado,Quarto,MDF,Acetinado,2.10x0.55x2.20,5,cabideiro extra,12610.66,7701.03,4909.63,orcamento,1,produto,159,visualizar,Sao Jose dos Campos,SP,residencial
1448,1277,5007,2026-02-03,2,Instagram,planejado,Sala,MDF,Brilho,2.10x0.45x2.30,5,adega,13692.52,9167.0,4525.52,orcamento,1,orcamento,547,orcamento,Natal,RN,corporativo
1449,1153,5021,2026-02-09,3,Direto,padrao,Cozinha,Compensado,Branco,1.50x0.60x0.75,3,LED,2387.44,1419.8,967.64,entregue,3,orcamento,625,comprar,Juiz de Fora,MG,residencial
1450,1274,5021,2026-02-08,2,Instagram,padrao,Cozinha,Compensado,Branco,1.50x0.60x0.80,3,rodape MDF,2301.27,1378.87,922.4,aprovado,1,produto,465,orcamento,Petropolis,RJ,residencial
1451,1042,5002,2026-02-07,2,Instagram,planejado,Cozinha,MDF,Laca,2.40x0.60x2.40,6,calha de tomada,20713.88,12211.95,8501.93,orcamento,1,categoria,531,orcamento,Belo Horizonte,MG,residencial
1452,1214,5020,2026-02-23,2,Instagram,modulado,Home Office,MDF,Fosco,2.40x0.60x1.80,6,gaveteiro,10635.85,6099.94,4535.91,produzido,1,orcamento,142,orcamento,Sao Paulo,SP,residencial
1453,1226,5007,2026-02-17,1,Google,planejado,Sala,MDF,Brilho,2.40x0.45x2.30,6,nenhum,19292.92,12900.8,6392.12,orcamento,1,orcamento,320,visualizar,Niteroi,RJ,corporativo
1454,1053,5017,2026-02-01,1,Google,modulado,Sala,MDP,Cinza,1.50x0.45x1.80,3,adega,4669.43,2964.46,1704.97,produzido,1,checkout,650,abandonar,Joinville,SC,residencial
1455,1136,5012,2026-02-15,4,Facebook,modulado,Cozinha,MDP,Branco,2.40x0.60x2.20,6,LED sob medida,9815.4,6318.33,3497.07,orcamento,2,carrinho,76,orcamento,Sao Paulo,SP,residencial
1456,1227,5017,2026-02-21,1,Google,modulado,Sala,MDP,Cinza,1.20x0.45x1.80,2,estante nicho,3826.24,2426.44,1399.8,orcamento,1,carrinho,620,visualizar,Santos,SP,residencial
1457,1292,5012,2026-02-25,2,Instagram,modulado,Cozinha,MDP,Branco,0.60x0.60x1.80,1,calha de tomada,1775.81,1049.94,725.87,aprovado,2,carrinho,116,visualizar,Curitiba,PR,residencial
1458,1165,5010,2026-02-02,2,Instagram,planejado,Home Office,MDF,Laca,0.60x0.60x2.30,1,puxador cava,3624.1,2165.79,1458.31,orcamento,1,produto,177,visualizar,Goiania,GO,corporativo
1459,1127,5002,2026-02-10,6,YouTube,planejado,Cozinha,MDF,Laca,1.50x0.60x2.10,3,calha de tomada,8842.67,4941.07,3901.6,orcamento,1,carrinho,414,orcamento,Juiz de Fora,MG,residencial
1460,1062,5001,2026-02-08,4,Facebook,planejado,Cozinha,MDF,Fosco,1.80x0.60x2.40,4,gabinete extra,15285.18,9024.27,6260.91,orcamento,1,produto,678,visualizar,Pelotas,RS,residencial
1461,1122,5001,2026-02-18,6,YouTube,planejado,Cozinha,MDF,Fosco,1.20x0.60x2.20,2,rodape MDF,6868.37,4363.04,2505.33,aprovado,1,orcamento,175,orcamento,Fortaleza,CE,corporativo
1462,1087,5019,2026-02-18,2,Instagram,modulado,Home Office,MDP,Branco,0.60x0.60x2.20,1,nenhum,1748.52,1005.59,742.93,entregue,1,produto,419,visualizar,Curitiba,PR,residencial
1463,1109,5014,2026-02-17,1,Google,modulado,Quarto,MDP,Amadeirado,1.20x0.55x1.80,2,cabideiro premium,2803.82,1600.83,1202.99,orcamento,1,orcamento,355,orcamento,Ribeirao Preto,SP,residencial
1464,1176,5015,2026-02-25,3,Direto,modulado,Quarto,MDP,Fosco,1.50x0.55x2.00,3,cabideiro extra,4118.91,2857.9,1261.01,entregue,1,categoria,653,visualizar,Natal,RN,residencial
1465,1005,5015,2026-02-14,2,Instagram,modulado,Quarto,MDP,Fosco,2.40x0.55x2.20,6,cabideiro extra,10345.17,6697.1,3648.07,orcamento,2,checkout,718,visualizar,Rio de Janeiro,RJ,corporativo
1466,1053,5009,2026-02-20,2,Instagram,planejado,Home Office,MDF,Fosco,1.50x0.60x2.10,3,passa fios,9344.7,5152.71,4191.99,entregue,1,checkout,226,comprar,Joinville,SC,residencial
1467,1256,5014,2026-02-26,3,Direto,modulado,Quarto,MDP,Amadeirado,1.20x0.55x2.20,2,nenhum,2455.35,1609.75,845.6,orcamento,3,orcamento,143,orcamento,Belo Horizonte,MG,corporativo
1468,1292,5012,2026-02-06,2,Instagram,modulado,Cozinha,MDP,Branco,2.40x0.60x2.00,6,LED,7135.7,4202.53,2933.17,orcamento,1,orcamento,226,orcamento,Curitiba,PR,residencial
1469,1012,5029,2026-02-23,3,Direto,padrao,Varanda,Madeira Maciça,Verniz,1.50x0.50x1.80,3,banco embutido,5625.86,3642.77,1983.09,orcamento,2,carrinho,154,abandonar,Belo Horizonte,MG,residencial
1470,1239,5012,2026-02-24,1,Google,modulado,Cozinha,MDP,Branco,1.50x0.60x2.20,3,gabinete extra,4264.7,2559.7,1705.0,produzido,3,carrinho,463,abandonar,Curitiba,PR,residencial
1471,1128,5004,2026-02-21,1,Google,planejado,Quarto,MDF,Fosco,3.20x0.55x2.40,8,modulo canto,29769.79,17866.2,11903.59,orcamento,1,produto,85,visualizar,Rio de Janeiro,RJ,residencial
1472,1267,5019,2026-02-03,4,Facebook,modulado,Home Office,MDP,Branco,2.10x0.60x2.20,5,rodizios,8635.61,4860.38,3775.23,orcamento,1,orcamento,96,visualizar,Belo Horizonte,MG,residencial
1473,1032,5024,2026-02-21,2,Instagram,padrao,Home Office,MDF,Fosco,0.60x0.60x0.75,1,puxador cava,1080.21,609.64,470.57,aprovado,1,checkout,40,comprar,Belo Horizonte,MG,residencial
1474,1238,5019,2026-02-20,3,Direto,modulado,Home Office,MDP,Branco,1.50x0.60x1.80,3,puxador cava,4117.81,2328.22,1789.59,orcamento,1,produto,616,orcamento,Goiania,GO,residencial
1475,1290,5006,2026-02-14,2,Instagram,planejado,Quarto,Madeira Maciça,Verniz,3.20x0.55x2.20,8,cabideiro premium,47374.85,28270.94,19103.91,produzido,1,carrinho,584,orcamento,Sao Paulo,SP,residencial
1476,1076,5011,2026-02-20,1,Google,modulado,Cozinha,MDP,Amadeirado,1.50x0.60x1.80,3,gabinete extra,4810.34,2816.97,1993.37,entregue,1,checkout,235,comprar,Sao Jose dos Campos,SP,residencial
